Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
13.0,19,551.0,0,0,0,0,0,0,780.34
358.0,1000,6200.0,0,0,1,1,1,1,4521.5
171.0,500,40000.0,0,0,0,0,0,2,1653.78
1855.0,31920,127360.8,0,0,1,2,2,1,16007.06
7590.0,38000,121600.0,0,0,1,3,2,1,45450.08
504.0,416,2225.6,0,0,2,1,1,1,5920.42
1478.0,16667,60834.55,0,0,3,2,2,1,6212.41
479.0,273,532.35,0,0,2,3,2,1,4861.14
853.0,2500,100000.0,0,0,4,0,0,3,13569.49
7416.0,10000,99800.0,0,0,5,2,2,1,64179.42
256.0,750,60000.0,0,0,6,0,0,2,1760.32
710.0,2000,33000.0,0,0,5,0,0,0,3120.7
162.0,712,8964.08,0,0,3,1,1,0,912.96
341.0,1000,80000.0,0,0,2,0,0,2,2682.47
2278.0,7500,202500.0,0,0,2,0,0,4,15893.71
941.0,1000,1920.0,0,0,1,1,1,1,4193.49
117.0,500,41095.0,0,0,1,2,2,5,1767.38
171.0,750,53992.5,0,0,6,0,0,2,3518.38
60.0,25,8750.0,0,0,6,0,0,0,3097.85
3335.0,10000,200000.0,0,0,3,0,0,6,27869.74
3335.0,10000,200000.0,0,0,3,0,0,6,28461.1
3335.0,10000,200000.0,0,0,3,0,0,6,28359.8
4228.0,64000,99200.0,0,0,7,3,2,1,12237.61
3263.0,10000,270000.0,0,0,2,0,0,4,20885.78
76.0,1000,17000.0,0,0,1,2,2,0,2282.57
23.0,400,3352.0,0,0,1,2,2,1,2149.05
99.0,1500,15.0,0,0,5,0,3,1,0.75
509.0,476,36176.0,0,0,0,0,0,0,5446.51
206.0,659,13180.0,0,0,0,0,0,6,2656.12
14.0,213,2.13,0,0,8,0,3,1,360.0
373.0,1634,117631.66,0,0,9,0,0,2,4112.46
483.0,1425,38475.0,0,0,2,0,0,4,5468.88
33.0,142,10222.58,0,0,10,0,0,2,1715.17
654.0,8400,96432.0,0,0,1,2,2,1,4051.34
81.0,400,2800.0,0,0,1,2,1,0,2211.05
1251.0,5498,439785.02,0,0,2,0,0,2,16090.22
1537.0,1344,18359.04,0,0,1,2,2,1,13507.92
117.0,2597,61470.99,0,0,3,3,2,0,645.1
