,Managed_By,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_(Kilograms),Freight_Cost_USD,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean,Manufacturing_company,country_encoded,shipment_mode_encoded,manufacturing_site_encoded
0,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,30.0,19.0,551.0,29.0,0.97,Yes,13,780.34,69.86500000000001,780.34,13.0,Ranbaxy Fine Chemicals LTD,1,1,10
1,PMO - US,Direct Drop,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240.0,1000.0,6200.0,6.2,0.03,Yes,358,4521.5,69.86500000000001,4521.5,358.0,Aurobindo Unit III,5,1,1
2,PMO - US,Direct Drop,HRDT,HIV test,Others,Determine,Test kit,100.0,500.0,40000.0,80.0,0.8,Yes,171,1653.78,69.86500000000001,1653.78,171.0,ABBVIE GmbH & Co.KG Wiesbaden,1,1,25
3,PMO - US,Direct Drop,ARV,Adult,Others,Generic,Tablet,60.0,31920.0,127360.8,3.99,0.07,Yes,1855,16007.06,69.86500000000001,16007.06,1855.0,Ranbaxy,5,1,22
4,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60.0,38000.0,121600.0,3.2,0.05,Yes,7590,45450.08,69.86500000000001,45450.08,7590.0,Aurobindo Unit III,5,1,1
5,PMO - US,Direct Drop,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240.0,416.0,2225.6,5.35,0.02,Yes,504,5920.42,69.86500000000001,5920.42,504.0,Aurobindo Unit III,2,1,1
6,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,16667.0,60834.55,3.65,0.06,Yes,1478,6212.41,69.86500000000001,6212.41,1478.0,Aurobindo Unit III,9,1,1
7,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60.0,273.0,532.35,1.95,0.03,No,See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),69.86500000000001,4861.14,479.0,Aurobindo Unit III,2,1,1
8,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,2500.0,100000.0,40.0,2.0,Yes,853,13569.49,69.86500000000001,13569.49,853.0,Trinity Biotech,4,1,7
9,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,60.0,10000.0,99800.0,9.98,0.17,Yes,7416,64179.42,69.86500000000001,64179.42,7416.0,Cipla,10,1,4
10,PMO - US,Direct Drop,HRDT,HIV test,Others,Determine,Test kit,100.0,750.0,60000.0,80.0,0.8,Yes,256,1760.32,69.86500000000001,1760.32,256.0,ABBVIE GmbH & Co.KG Wiesbaden,6,1,25
11,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,30.0,2000.0,33000.0,16.5,0.55,Yes,710,3120.7,69.86500000000001,3120.7,710.0,Premier Med. Corp Ltd. India,10,1,10
12,PMO - US,Direct Drop,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Oral,200.0,712.0,8964.08,12.59,0.06,Yes,162,912.96,69.86500000000001,912.96,162.0,BMS Meymac,9,1,21
13,PMO - US,Direct Drop,HRDT,HIV test,Others,Determine,Test kit,100.0,1000.0,80000.0,80.0,0.8,Yes,341,2682.47,128.0,2682.47,341.0,ABBVIE GmbH & Co.KG Wiesbaden,2,1,25
