,Country,Fulfill_Via,Shipment_Mode,Sub_Classification,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
0,0,0,0,0,0,19.0,551.0,69.86500000000001,780.34,13.0
1,1,0,0,1,1,1000.0,6200.0,69.86500000000001,4521.5,358.0
2,0,0,0,0,0,500.0,40000.0,69.86500000000001,1653.78,171.0
3,1,0,0,2,2,31920.0,127360.8,69.86500000000001,16007.06,1855.0
4,1,0,0,2,3,38000.0,121600.0,69.86500000000001,45450.08,7590.0
5,2,0,0,1,1,416.0,2225.6,69.86500000000001,5920.42,504.0
6,3,0,0,2,2,16667.0,60834.55,69.86500000000001,6212.41,1478.0
7,2,0,0,2,3,273.0,532.35,69.86500000000001,4861.14,479.0
8,4,0,0,0,0,2500.0,100000.0,69.86500000000001,13569.49,853.0
9,5,0,0,2,2,10000.0,99800.0,69.86500000000001,64179.42,7416.0
10,6,0,0,0,0,750.0,60000.0,69.86500000000001,1760.32,256.0
11,5,0,0,0,0,2000.0,33000.0,69.86500000000001,3120.7,710.0
12,3,0,0,1,1,712.0,8964.08,69.86500000000001,912.96,162.0
13,2,0,0,0,0,1000.0,80000.0,128.0,2682.47,341.0
14,2,0,0,0,0,7500.0,202500.0,69.86500000000001,15893.71,2278.0
15,1,0,0,1,1,1000.0,1920.0,3.07,4193.49,941.0
16,1,0,0,2,2,500.0,41095.0,65.75,1767.38,117.0
17,6,0,0,0,0,750.0,53992.5,86.39,3518.38,171.0
18,6,0,0,0,0,25.0,8750.0,14.0,3097.85,60.0
19,3,0,0,0,0,10000.0,200000.0,320.0,27869.74,3335.0
20,3,0,0,0,0,10000.0,200000.0,320.0,28461.1,3335.0
21,3,0,0,0,0,10000.0,200000.0,320.0,28359.8,3335.0
22,7,0,0,2,3,64000.0,99200.0,158.72,12237.61,4228.0
23,2,0,0,0,0,10000.0,270000.0,432.0,20885.78,3263.0
24,1,0,0,2,2,1000.0,17000.0,27.2,2282.57,76.0
25,1,0,0,2,2,400.0,3352.0,5.36,2149.05,23.0
26,5,0,0,3,4,1500.0,15.0,0.02,0.75,99.0
27,0,0,0,0,0,476.0,36176.0,57.88,5446.51,509.0
28,0,0,0,0,0,659.0,13180.0,25.83,2656.12,206.0
29,8,0,0,3,4,213.0,2.13,0.0,360.0,14.0
30,9,0,0,0,0,1634.0,117631.66,188.21,4112.46,373.0
31,2,0,0,0,0,1425.0,38475.0,61.56,5468.88,483.0
32,10,0,0,0,0,142.0,10222.58,16.36,1715.17,33.0
33,1,0,0,2,2,8400.0,96432.0,154.29,4051.34,654.0
34,1,0,0,1,2,400.0,2800.0,4.48,2211.05,81.0
35,2,0,0,0,0,5498.0,439785.02,703.66,16090.22,1251.0
36,1,0,0,2,2,1344.0,18359.04,29.37,13507.92,1537.0
37,3,0,0,2,3,2597.0,61470.99,98.35,645.1,117.0
38,6,0,0,0,0,28.0,9800.0,15.68,782.13,109.0
39,6,0,0,0,0,84.0,11676.0,22.88,871.57,54.0
40,1,0,0,2,2,38640.0,92736.0,148.38,18614.72,2719.0
41,2,0,0,4,2,34.0,1547.68,2.48,1755.87,115.0
42,1,0,0,2,3,42000.0,60900.0,97.44,10179.16,2600.0
43,1,0,0,2,2,16800.0,171192.0,335.54,4686.88,1224.0
44,8,0,0,5,0,98.0,3675.0,5.88,180.0,34.0
45,4,0,0,0,0,4500.0,323955.0,634.95,11062.05,1053.0
46,0,0,0,0,0,500.0,38000.0,60.8,11298.13,562.0
47,0,0,0,4,2,25000.0,9750.0,19.11,12830.91,1708.0
48,10,0,0,0,0,150.0,10798.5,21.17,2698.04,46.0
49,11,0,0,3,4,15.0,450.0,0.88,578.01,1.0
50,4,0,0,0,0,319.0,6380.0,12.5,1122.24,100.0
51,3,0,0,2,2,50000.0,1267480.9786782686,1825.8853909196707,9339.0,4093.0
52,0,0,0,5,5,140.0,2731.4,5.35,25405.22,5209.0
53,12,0,0,0,0,5700.0,182400.0,357.5,23914.8,1906.0
54,1,0,0,2,2,5964.0,51350.04,100.65,12835.2,3509.0
55,1,0,0,2,2,21000.0,50400.0,98.78,12835.2,3509.0
56,1,0,0,2,2,10560.0,72864.0,142.81,4225.93,924.0
57,1,0,0,2,2,2352.0,20250.72,39.69,892.5,211.0
58,3,0,0,1,1,524.0,21536.4,42.21,6668.61,644.0
59,5,0,0,0,0,8249.0,185602.5,363.78,12595.81,2800.0
60,2,0,0,2,3,200.0,4734.0,9.28,463.0,11.0
61,6,0,0,1,2,80.0,760.0,1.49,260.0,43.0
62,6,0,0,1,1,32.0,402.88,0.79,260.0,43.0
63,6,0,0,1,2,46.0,472.88,0.93,893.22,10.0
64,11,0,0,0,0,20.0,7000.0,13.72,1172.11,48.0
65,0,0,0,2,2,10240.0,420864.0,824.89,14806.48,2523.0
66,0,0,0,2,3,400.0,15344.0,30.07,7642.97,175.0
67,6,0,0,0,0,60.0,21000.0,41.16,3128.19,144.0
68,13,0,0,0,0,7500.0,600000.0,1176.0,16835.31,2215.0
69,2,0,0,0,0,6395.0,511600.0,1002.74,24514.33,1915.0
70,5,0,0,2,2,55356.0,386384.88,757.31,37404.74,4482.0
71,0,0,0,0,0,1000.0,110000.0,215.6,8074.03,1101.0
72,1,0,0,2,3,8.0,613.76,1.2,3366.04,48.0
73,1,0,0,2,2,3500.0,39025.0,76.49,6341.88,1804.0
74,11,0,0,0,0,5.0,1750.0,3.43,684.42,12.0
75,10,0,0,0,0,67.0,5025.0,9.85,401.97,48.0
76,1,0,0,1,2,400.0,2800.0,5.49,14.36,148.0
77,10,0,0,0,0,220.0,7040.0,13.8,1736.18,79.0
78,0,0,0,0,0,147.0,11076.45,69.86500000000001,1816.57,165.0
79,0,0,0,0,0,6.0,2400.0,69.86500000000001,1039.5,15.0
80,1,0,0,1,2,2800.0,19600.0,69.86500000000001,3292.15,555.0
81,6,0,0,0,0,15.0,6000.0,69.86500000000001,1195.29,36.0
82,2,0,0,2,2,894.0,2994.9,69.86500000000001,4861.14,479.0
83,1,0,0,2,2,25100.0,276100.0,69.86500000000001,18772.94,2575.0
84,1,0,0,2,3,95500.0,144205.0,69.86500000000001,42453.21,9170.0
85,8,0,0,0,0,900.0,36000.0,69.86500000000001,4989.87,316.0
86,1,0,0,2,2,70000.0,525000.0,69.86500000000001,31858.09,6813.0
87,5,0,0,2,2,71577.0,1087970.4,69.86500000000001,64179.42,7416.0
88,5,0,0,2,2,5605.0,202340.5,69.86500000000001,64179.42,7416.0
89,1,0,0,2,2,25000.0,187500.0,300.0,21439.59,2348.0
90,2,0,0,0,0,375.0,28500.0,69.86500000000001,4445.75,402.0
