Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
13.0,19.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,780.34
358.0,1000.0,6200.0,0.0,0.0,1.0,1.0,1.0,1.0,4521.5
171.0,500.0,40000.0,0.0,0.0,0.0,0.0,0.0,2.0,1653.78
1855.0,31920.0,127360.8,0.0,0.0,1.0,2.0,2.0,1.0,16007.06
7590.0,38000.0,121600.0,0.0,0.0,1.0,3.0,2.0,1.0,45450.08
504.0,416.0,2225.6,0.0,0.0,2.0,1.0,1.0,1.0,5920.42
1478.0,16667.0,60834.55,0.0,0.0,3.0,2.0,2.0,1.0,6212.41
479.0,273.0,532.35,0.0,0.0,2.0,3.0,2.0,1.0,4861.14
853.0,2500.0,100000.0,0.0,0.0,4.0,0.0,0.0,3.0,13569.49
7416.0,10000.0,99800.0,0.0,0.0,5.0,2.0,2.0,1.0,64179.42
256.0,750.0,60000.0,0.0,0.0,6.0,0.0,0.0,2.0,1760.32
710.0,2000.0,33000.0,0.0,0.0,5.0,0.0,0.0,0.0,3120.7
162.0,712.0,8964.08,0.0,0.0,3.0,1.0,1.0,0.0,912.96
341.0,1000.0,80000.0,0.0,0.0,2.0,0.0,0.0,2.0,2682.47
2278.0,7500.0,202500.0,0.0,0.0,2.0,0.0,0.0,4.0,15893.71
941.0,1000.0,1920.0,0.0,0.0,1.0,1.0,1.0,1.0,4193.49
117.0,500.0,41095.0,0.0,0.0,1.0,2.0,2.0,5.0,1767.38
171.0,750.0,53992.5,0.0,0.0,6.0,0.0,0.0,2.0,3518.38
60.0,25.0,8750.0,0.0,0.0,6.0,0.0,0.0,0.0,3097.85
3335.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,27869.74
3335.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,28461.1
3335.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,28359.8
4228.0,64000.0,99200.0,0.0,0.0,7.0,3.0,2.0,1.0,12237.61
3263.0,10000.0,270000.0,0.0,0.0,2.0,0.0,0.0,4.0,20885.78
76.0,1000.0,17000.0,0.0,0.0,1.0,2.0,2.0,0.0,2282.57
23.0,400.0,3352.0,0.0,0.0,1.0,2.0,2.0,1.0,2149.05
99.0,1500.0,15.0,0.0,0.0,5.0,0.0,3.0,1.0,0.75
509.0,476.0,36176.0,0.0,0.0,0.0,0.0,0.0,0.0,5446.51
206.0,659.0,13180.0,0.0,0.0,0.0,0.0,0.0,6.0,2656.12
14.0,213.0,2.13,0.0,0.0,8.0,0.0,3.0,1.0,360.0
373.0,1634.0,117631.66,0.0,0.0,9.0,0.0,0.0,2.0,4112.46
483.0,1425.0,38475.0,0.0,0.0,2.0,0.0,0.0,4.0,5468.88
33.0,142.0,10222.58,0.0,0.0,10.0,0.0,0.0,2.0,1715.17
654.0,8400.0,96432.0,0.0,0.0,1.0,2.0,2.0,1.0,4051.34
81.0,400.0,2800.0,0.0,0.0,1.0,2.0,1.0,0.0,2211.05
1251.0,5498.0,439785.02,0.0,0.0,2.0,0.0,0.0,2.0,16090.22
1537.0,1344.0,18359.04,0.0,0.0,1.0,2.0,2.0,1.0,13507.92
117.0,2597.0,61470.99,0.0,0.0,3.0,3.0,2.0,0.0,645.1
109.0,28.0,9800.0,0.0,0.0,6.0,0.0,0.0,0.0,782.13
54.0,84.0,11676.0,0.0,0.0,6.0,0.0,0.0,0.0,871.57
2719.0,38640.0,92736.0,0.0,0.0,1.0,2.0,2.0,1.0,18614.72
115.0,34.0,1547.68,0.0,0.0,2.0,2.0,4.0,0.0,1755.87
2600.0,42000.0,60900.0,0.0,0.0,1.0,3.0,2.0,1.0,10179.16
1224.0,16800.0,171192.0,0.0,0.0,1.0,2.0,2.0,1.0,4686.88
34.0,98.0,3675.0,0.0,0.0,8.0,0.0,5.0,0.0,180.0
1053.0,4500.0,323955.0,0.0,0.0,4.0,0.0,0.0,2.0,11062.05
562.0,500.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,11298.13
1708.0,25000.0,9750.0,0.0,0.0,0.0,2.0,4.0,1.0,12830.91
46.0,150.0,10798.5,0.0,0.0,10.0,0.0,0.0,2.0,2698.04
1.0,15.0,450.0,0.0,0.0,11.0,0.0,3.0,3.0,578.01
100.0,319.0,6380.0,0.0,0.0,4.0,0.0,0.0,6.0,1122.24
4093.0,50000.0,45796.8,0.0,0.0,3.0,2.0,2.0,0.0,9339.0
5209.0,140.0,2731.4,0.0,0.0,0.0,4.0,5.0,1.0,25405.22
1906.0,5700.0,182400.0,0.0,0.0,12.0,0.0,0.0,3.0,23914.8
3509.0,5964.0,51350.04,0.0,0.0,1.0,2.0,2.0,1.0,12835.2
3509.0,21000.0,50400.0,0.0,0.0,1.0,2.0,2.0,1.0,12835.2
924.0,10560.0,72864.0,0.0,0.0,1.0,2.0,2.0,1.0,4225.93
211.0,2352.0,20250.72,0.0,0.0,1.0,2.0,2.0,1.0,892.5
644.0,524.0,21536.4,0.0,0.0,3.0,1.0,1.0,7.0,6668.61
2800.0,8249.0,185602.5,0.0,0.0,5.0,0.0,0.0,0.0,12595.81
11.0,200.0,4734.0,0.0,0.0,2.0,3.0,2.0,0.0,463.0
43.0,80.0,760.0,0.0,0.0,6.0,2.0,1.0,0.0,260.0
43.0,32.0,402.88,0.0,0.0,6.0,1.0,1.0,0.0,260.0
10.0,46.0,472.88,0.0,0.0,6.0,2.0,1.0,1.0,893.22
48.0,20.0,7000.0,0.0,0.0,11.0,0.0,0.0,0.0,1172.11
2523.0,10240.0,420864.0,0.0,0.0,0.0,2.0,2.0,5.0,14806.48
175.0,400.0,15344.0,0.0,0.0,0.0,3.0,2.0,8.0,7642.97
144.0,60.0,21000.0,0.0,0.0,6.0,0.0,0.0,0.0,3128.19
2215.0,7500.0,45796.8,0.0,0.0,13.0,0.0,0.0,2.0,16835.31
1915.0,6395.0,45796.8,0.0,0.0,2.0,0.0,0.0,2.0,24514.33
4482.0,55356.0,386384.88,0.0,0.0,5.0,2.0,2.0,1.0,37404.74
1101.0,1000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,8074.03
48.0,8.0,613.76,0.0,0.0,1.0,3.0,2.0,8.0,3366.04
1804.0,3500.0,39025.0,0.0,0.0,1.0,2.0,2.0,1.0,6341.88
12.0,5.0,1750.0,0.0,0.0,11.0,0.0,0.0,0.0,684.42
48.0,67.0,5025.0,0.0,0.0,10.0,0.0,0.0,0.0,401.97
148.0,400.0,2800.0,0.0,0.0,1.0,2.0,1.0,0.0,14.36
79.0,220.0,7040.0,0.0,0.0,10.0,0.0,0.0,3.0,1736.18
165.0,147.0,11076.45,0.0,0.0,0.0,0.0,0.0,0.0,1816.57
15.0,6.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.5
555.0,2800.0,19600.0,0.0,0.0,1.0,2.0,1.0,0.0,3292.15
36.0,15.0,6000.0,0.0,0.0,6.0,0.0,0.0,0.0,1195.29
479.0,894.0,2994.9,0.0,0.0,2.0,2.0,2.0,1.0,4861.14
2575.0,25100.0,276100.0,0.0,0.0,1.0,2.0,2.0,1.0,18772.94
9170.0,95500.0,144205.0,0.0,0.0,1.0,3.0,2.0,1.0,42453.21
316.0,900.0,36000.0,0.0,0.0,8.0,0.0,0.0,3.0,4989.87
6813.0,70000.0,45796.8,0.0,0.0,1.0,2.0,2.0,1.0,31858.09
7416.0,71577.0,45796.8,0.0,0.0,5.0,2.0,2.0,1.0,64179.42
7416.0,5605.0,202340.5,0.0,0.0,5.0,2.0,2.0,1.0,64179.42
2348.0,25000.0,187500.0,0.0,0.0,1.0,2.0,2.0,1.0,21439.59
402.0,375.0,28500.0,0.0,0.0,2.0,0.0,0.0,0.0,4445.75
1707.0,4650.0,372000.0,0.0,0.0,7.0,0.0,0.0,2.0,24859.45
1194.0,3500.0,280000.0,0.0,0.0,2.0,0.0,0.0,2.0,5858.57
960.0,1000.0,1920.0,0.0,0.0,1.0,1.0,1.0,1.0,13762.41
960.0,1000.0,2100.0,0.0,0.0,1.0,1.0,1.0,1.0,13762.41
941.0,1000.0,2100.0,0.0,0.0,1.0,1.0,1.0,1.0,4193.49
332.0,3000.0,40500.0,0.0,0.0,1.0,2.0,2.0,1.0,4454.62
1955.0,22500.0,277425.0,0.0,0.0,1.0,2.0,2.0,1.0,16095.39
117.0,500.0,41095.0,0.0,0.0,1.0,2.0,2.0,5.0,1767.38
3336.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,25165.3
157.0,1609.0,27353.0,0.0,0.0,5.0,2.0,2.0,0.0,7922.24
337.0,100.0,18333.0,0.0,0.0,1.0,3.0,2.0,8.0,2535.4
3336.0,10000.0,270000.0,0.0,0.0,2.0,0.0,0.0,4.0,28002.75
113.0,1099.0,30222.5,0.0,0.0,5.0,2.0,2.0,1.0,1511.25
125.0,1200.0,2100.0,0.0,0.0,1.0,3.0,2.0,1.0,2429.85
148.0,650.0,51993.5,0.0,0.0,2.0,0.0,0.0,2.0,2577.27
154.0,450.0,14400.0,0.0,0.0,11.0,0.0,0.0,3.0,2496.62
2907.0,10270.0,277290.0,0.0,0.0,2.0,0.0,0.0,4.0,18864.37
9000.0,9000.0,288000.0,0.0,0.0,12.0,0.0,0.0,3.0,55746.59
2052.0,6040.0,193280.0,0.0,0.0,4.0,0.0,0.0,3.0,24689.0
79.0,289.0,7803.0,0.0,0.0,0.0,0.0,0.0,4.0,1104.69
682.0,3000.0,215970.0,0.0,0.0,12.0,0.0,0.0,2.0,5298.9
255.0,1116.0,78120.0,0.0,0.0,0.0,0.0,0.0,2.0,5175.72
256.0,1116.0,78120.0,0.0,0.0,0.0,0.0,0.0,2.0,7118.12
832.0,832.0,26624.0,0.0,0.0,8.0,0.0,0.0,3.0,3740.04
49.0,213.0,15333.87,0.0,0.0,8.0,0.0,0.0,2.0,959.46
39.0,10.0,3500.0,0.0,0.0,11.0,0.0,0.0,0.0,604.0
507.0,10080.0,29232.0,0.0,0.0,1.0,2.0,2.0,1.0,4159.45
522.0,6720.0,77145.6,0.0,0.0,1.0,2.0,2.0,1.0,3796.05
81.0,400.0,2800.0,0.0,0.0,1.0,2.0,1.0,0.0,3013.09
502.0,10780.0,15631.0,0.0,0.0,1.0,3.0,2.0,1.0,7575.6
257.0,1123.0,78610.0,0.0,0.0,6.0,0.0,0.0,2.0,2851.72
234.0,340.0,47260.0,0.0,0.0,5.0,0.0,0.0,0.0,5446.06
5311.0,47879.0,45796.8,0.0,0.0,5.0,2.0,2.0,1.0,30408.04
6768.0,61021.0,45796.8,0.0,0.0,5.0,2.0,2.0,1.0,38120.96
2719.0,4300.0,37023.0,0.0,0.0,1.0,2.0,2.0,1.0,18614.72
1114.0,18030.0,26143.5,0.0,0.0,1.0,3.0,2.0,1.0,5822.44
889.0,3000.0,30.0,0.0,0.0,4.0,0.0,3.0,1.0,7303.52
49.0,213.0,15333.87,0.0,0.0,8.0,0.0,0.0,2.0,1047.39
1927.0,6502.0,65.02,0.0,0.0,2.0,0.0,3.0,1.0,24870.05
1566.0,6875.0,45796.8,0.0,0.0,2.0,0.0,0.0,2.0,19992.75
113.0,434.0,35674.8,0.0,0.0,1.0,2.0,2.0,5.0,2709.98
159.0,1100.0,12540.0,0.0,0.0,1.0,2.0,2.0,1.0,2568.6
613.0,8400.0,85596.0,0.0,0.0,1.0,2.0,2.0,1.0,3247.73
323.0,3648.0,26448.0,0.0,0.0,1.0,2.0,2.0,1.0,2335.19
34.0,108.0,4050.0,0.0,0.0,8.0,0.0,5.0,0.0,648.27
2147.0,5958.0,160866.0,0.0,0.0,7.0,0.0,0.0,4.0,11066.17
