Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
4.0,0.13,243.0,30,6000,From RDC,Truck,Côte d'Ivoire,Pediatric,Tablet,Yes,2180.32
11.23,0.19,1630.0,60,715,From RDC,Air,"Congo, DRC",Adult,Tablet,Yes,18387.8
26.25,0.88,1620.0,30,17994,From RDC,Air,Zambia,Adult,Tablet,Yes,6785.1
32.0,0.16,298.0,20,8261,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,16397.94
10.5,0.35,7140.0,30,54090,Direct Drop,Ocean,Haiti,Adult,Tablet,Yes,7992.56
3.95,0.07,437.0,60,9073,Direct Drop,Air,Ghana,Pediatric,Tablet,Yes,4659.75
32.42,0.36,238.0,90,1987,From RDC,Air,Tanzania,Pediatric,Capsule,Yes,2465.0
8.0,0.27,9022.0,30,120000,From RDC,Truck,Zambia,Adult,Tablet,Yes,4506.18
13.52,0.45,1102.0,30,4837,From RDC,Truck,Mozambique,Adult,Tablet,Yes,8406.81
5.19,0.17,1248.0,30,131704,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,119695.66
16.0,0.18,182.0,90,1692,From RDC,Air,Ethiopia,Pediatric,Capsule,Yes,1722.0
8.58,0.72,414.0,100,1396,Direct Drop,Air,Zimbabwe,HIV test,Test kit,Yes,5781.14
23.0,0.16,2535.0,1,3510,Direct Drop,Air,Ethiopia,HIV test,Test kit,Yes,22433.91
14.63,0.24,1248.0,60,7548,From RDC,Truck,Zambia,Adult,Tablet,Yes,11292.05
17.14,0.29,947.0,60,9545,From RDC,Truck,Zambia,Adult,Tablet,Yes,13232.09
8.11,0.14,1248.0,60,250000,Direct Drop,Air,Mozambique,Adult,Tablet,Yes,146734.85
11.22,0.19,36.0,60,275,From RDC,Truck,Mozambique,Adult,Tablet,Yes,3470.0
13.0,0.43,3099.0,30,180,Direct Drop,Air,Vietnam,Adult,Capsule,No,5018.69
8.58,0.72,1417.0,100,4800,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,13093.27
8.76,0.15,35.0,60,316,From RDC,Air,Nigeria,Adult,Tablet,No,1567.51
1.32,0.02,1055.0,60,168,From RDC,Air,Haiti,Adult,Capsule,No,11490.2
1.56,0.05,41.0,30,400,Direct Drop,Air,Haiti,Pediatric,Capsule,Yes,1317.01
16.15,0.07,1592.0,240,4439,From RDC,Truck,Tanzania,Pediatric,Oral,Yes,6708.25
8.58,0.8,1454.0,100,8442,Direct Drop,Air,Kenya,HIV test,Test kit,Yes,13343.23
50.0,0.28,257.0,180,1015,Direct Drop,Air,Côte d'Ivoire,Adult,Capsule,Yes,1167.97
4.71,0.16,7778.0,30,92500,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,20684.73
2.44,0.04,658.0,60,4275,From RDC,Air,Ethiopia,Adult,Tablet,No,4311.22
8.58,0.89,1288.0,100,3176,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,16002.97
6.61,0.11,2608.0,60,29635,Direct Drop,Air,Haiti,Adult,Tablet,Yes,21886.49
9.81,0.16,1248.0,60,159964,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,16532.5
8.58,0.89,1249.0,100,2880,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,26380.35
5.0,0.16,1361.0,1,2407,Direct Drop,Air,"Congo, DRC",HIV test - Ancillary,Test kit,No,24410.67
8.56,0.29,26.0,30,276,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,2187.01
6.75,0.11,3479.0,60,35616,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,10048.1
9.81,0.16,1248.0,60,75024,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,No,36194.84
2.42,0.04,6003.0,60,60794,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,7423.38
8.0,0.13,621.0,60,4500,From RDC,Air,Nigeria,Adult,Tablet,No,4099.51
7.27,0.12,1248.0,60,42805,From RDC,Air Charter,Nigeria,Adult,Tablet,No,37242.5
11.45,0.19,2832.0,60,1436,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,7474.2
8.58,0.16,109.0,100,28,Direct Drop,Air,Haiti,HIV test,Test kit,Yes,782.13
6.86,0.23,1248.0,30,150000,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,19569.93
2.53,0.04,1828.0,60,34067,Direct Drop,Air,South Africa,Adult,Tablet,Yes,1791.42
6.83,0.03,180.0,240,450,Direct Drop,Air,Haiti,Pediatric,Oral,Yes,1773.7
5.0,0.05,751.0,100,240,From RDC,Truck,Kenya,HIV test - Ancillary,Test kit,Yes,190.06
1.4,0.01,342.0,200,3000,From RDC,Air,Ethiopia,Pediatric,Oral,Yes,1850.7
11.89,0.4,5446.0,30,50000,From RDC,Truck,Tanzania,Adult,Tablet,Yes,27804.65
2.33,0.04,3202.0,60,6594,From RDC,Air,Côte d'Ivoire,Adult,Tablet,No,12648.38
41.1,0.34,547.0,120,60,From RDC,Air,Uganda,Adult,Tablet,Yes,2437.63
6.5,0.22,1775.0,30,22512,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,5761.87
