Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded
30.0,6000.0,24000.0,4.0,0.13,243.0,2,2,1,1,1,0,2,2
60.0,715.0,8029.45,11.23,0.19,1630.0,1,1,13,1,1,0,1,2
30.0,17994.0,472342.5,26.25,0.88,1620.0,1,15,2,1,1,0,1,11
20.0,8261.0,264352.0,32.0,1.6,298.0,1,7,6,5,1,1,3,4
30.0,54090.0,567945.0,10.5,0.35,7140.0,4,3,10,1,1,1,1,2
60.0,9073.0,35838.35,3.95,0.07,437.0,1,2,14,1,1,1,2,2
90.0,1987.0,64418.54,32.42,0.36,238.0,1,10,5,4,1,0,2,1
30.0,120000.0,960000.0,8.0,0.27,9022.0,2,2,2,1,1,0,1,2
30.0,4837.0,65396.24,13.52,0.45,1102.0,2,2,6,1,1,0,1,2
30.0,131704.0,683543.76,5.19,0.17,10818.0,1,2,9,1,1,1,1,2
90.0,1692.0,27072.0,16.0,0.18,182.0,1,10,15,4,1,0,2,1
100.0,1396.0,100498.04,71.99,0.72,414.0,1,9,7,5,1,1,3,3
1.0,3510.0,80730.0,23.0,11.761991170924096,2535.0,1,17,15,5,1,1,3,10
60.0,7548.0,110427.24,14.63,0.24,13472.0,2,2,2,1,1,0,1,2
60.0,9545.0,163601.3,17.14,0.29,947.0,2,2,2,1,1,0,1,2
60.0,145784.18484021962,1302250.6478105593,8.11,0.14,34074.0,1,3,6,1,1,1,1,2
60.0,275.0,3085.5,11.22,0.19,36.0,2,2,6,1,1,0,1,2
30.0,180.0,2340.0,13.0,0.43,3099.0,1,1,11,4,0,1,1,2
100.0,4800.0,345600.0,72.0,0.72,1417.0,1,9,6,5,1,1,3,3
60.0,316.0,2768.16,8.76,0.15,35.0,1,1,4,1,0,0,1,2
60.0,168.0,221.76,1.32,0.02,1055.0,1,1,10,4,0,0,1,2
30.0,400.0,624.0,1.56,0.05,41.0,1,1,10,4,1,1,2,2
240.0,4439.0,71689.85,16.15,0.07,1592.0,2,1,5,3,1,0,2,2
100.0,8442.0,675360.0,80.0,0.8,1454.0,1,9,16,5,1,1,3,3
180.0,1015.0,50750.0,50.0,0.28,257.0,1,16,1,4,1,1,1,1
30.0,92500.0,435675.0,4.71,0.16,7778.0,4,3,8,1,1,1,1,2
60.0,4275.0,10431.0,2.44,0.04,658.0,1,1,15,1,0,0,1,2
100.0,3176.0,282664.0,89.0,0.89,1288.0,1,6,4,5,1,1,3,3
60.0,29635.0,195887.35,6.61,0.11,2608.0,1,3,10,1,1,1,1,2
60.0,145784.18484021962,1302250.6478105593,9.81,0.16,37944.0,3,1,4,1,1,0,1,2
100.0,2880.0,256320.0,89.0,0.89,1249.0,1,6,4,5,1,1,3,3
1.0,2407.0,12035.0,5.0,5.0,1361.0,1,6,13,5,0,1,4,3
30.0,276.0,2362.56,8.56,0.29,26.0,1,1,9,1,1,1,1,2
60.0,35616.0,240408.0,6.75,0.11,3479.0,1,4,11,1,1,1,1,2
60.0,75024.0,735985.44,9.81,0.16,18204.0,2,3,1,1,0,0,1,2
60.0,60794.0,147121.48,2.42,0.04,6003.0,2,2,7,1,1,0,1,2
60.0,4500.0,36000.0,8.0,0.13,621.0,1,1,4,1,0,0,1,2
