Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Shipment_mode,Manufacturing_site,Country,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
30.0,6000.0,4.0,0.13,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.32
60.0,715.0,11.23,0.19,1630.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18387.8
30.0,17994.0,26.25,0.88,1620.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6785.1
20.0,8261.0,32.0,1.6,298.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,16397.94
30.0,54090.0,10.5,0.35,7140.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7992.56
60.0,9073.0,3.95,0.07,437.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4659.75
90.0,1987.0,32.42,0.36,238.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2465.0
30.0,120000.0,8.0,0.27,9022.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4506.18
30.0,4837.0,13.52,0.45,1102.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8406.81
30.0,131704.0,5.19,0.17,10818.0,1.0,0.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,119695.66
90.0,1692.0,16.0,0.18,182.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1722.0
100.0,1396.0,71.99,0.72,414.0,1.0,6.0,9.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,5781.14
1.0,3510.0,23.0,11.761991170924096,2535.0,1.0,7.0,8.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,22433.91
60.0,7548.0,14.63,0.24,13472.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11292.05
60.0,9545.0,17.14,0.29,947.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13232.09
60.0,145784.18484021962,8.11,0.14,34074.0,1.0,4.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,146734.85
60.0,275.0,11.22,0.19,36.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3470.0
30.0,180.0,13.0,0.43,3099.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,2.0,1.0,5018.69
100.0,4800.0,72.0,0.72,1417.0,1.0,6.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,13093.27
60.0,316.0,8.76,0.15,35.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1567.51
60.0,168.0,1.32,0.02,1055.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11490.2
30.0,400.0,1.56,0.05,41.0,1.0,1.0,4.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,1317.01
240.0,4439.0,16.15,0.07,1592.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6708.25
100.0,8442.0,80.0,0.8,1454.0,1.0,6.0,12.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,13343.23
180.0,1015.0,50.0,0.28,257.0,1.0,8.0,0.0,1.0,0.0,1.0,7.0,3.0,2.0,0.0,1167.97
30.0,92500.0,4.71,0.16,7778.0,2.0,4.0,13.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,20684.73
60.0,4275.0,2.44,0.04,658.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4311.22
100.0,3176.0,89.0,0.89,1288.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,16002.97
60.0,29635.0,6.61,0.11,2608.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,21886.49
60.0,145784.18484021962,9.81,0.16,37944.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16532.5
100.0,2880.0,89.0,0.89,1249.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,26380.35
1.0,2407.0,5.0,5.0,1361.0,1.0,9.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,24410.67
30.0,276.0,8.56,0.29,26.0,1.0,1.0,7.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,2187.01
60.0,35616.0,6.75,0.11,3479.0,1.0,10.0,10.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,10048.1
60.0,75024.0,9.81,0.16,18204.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,36194.84
60.0,60794.0,2.42,0.04,6003.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7423.38
60.0,4500.0,8.0,0.13,621.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4099.51
60.0,42805.0,7.27,0.12,11111.0,3.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37242.5
60.0,1436.0,11.45,0.19,2832.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7474.2
100.0,28.0,129.58352457209097,3.5,109.0,1.0,11.0,4.0,1.0,1.0,2.0,9.0,3.0,1.0,0.0,782.13
30.0,145784.18484021962,6.86,0.23,10151.0,2.0,10.0,13.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,19569.93
60.0,34067.0,2.53,0.04,1828.0,1.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1791.42
240.0,450.0,6.83,0.03,180.0,1.0,1.0,4.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,1773.7
100.0,240.0,5.0,0.05,751.0,0.0,6.0,12.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,190.06
200.0,3000.0,1.4,0.01,342.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1850.7
30.0,50000.0,11.89,0.4,5446.0,0.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27804.65
60.0,6594.0,2.33,0.04,3202.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12648.38
120.0,60.0,41.1,0.34,547.0,1.0,13.0,14.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2437.63
30.0,22512.0,6.5,0.22,1775.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,5761.87
180.0,740.0,49.32,0.27,206.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1583.0
60.0,4014.0,6.85,0.11,507.0,1.0,13.0,0.0,1.0,0.0,1.0,10.0,7.0,0.0,0.0,4520.66
120.0,110.0,36.16,0.3,33.0,1.0,13.0,14.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,995.22
20.0,7000.0,32.0,1.6,2379.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,21686.21
60.0,200.0,2.33,0.04,2652.0,1.0,5.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22788.95
20.0,39.0,32.0,1.6,13.0,1.0,3.0,16.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,581.73
30.0,6678.0,4.5,0.15,734.0,1.0,4.0,17.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3710.65
100.0,15000.0,1.3,0.01,2978.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5458.46
100.0,2330.0,0.0,0.0,965.0,1.0,9.0,6.0,1.0,1.0,2.0,11.0,4.0,1.0,0.0,16382.89
120.0,841.0,66.6,0.55,169.0,1.0,2.0,14.0,1.0,0.0,1.0,12.0,3.0,0.0,0.0,359.53
60.0,1100.0,11.4,0.19,159.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,2568.6
300.0,2266.0,30.82,0.1,2272.0,1.0,14.0,2.0,1.0,0.0,0.0,10.0,8.0,3.0,0.0,13949.95
30.0,25003.0,16.75,0.56,2177.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2912.01
60.0,49920.0,5.69,0.09,4799.0,1.0,10.0,10.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,10959.54
100.0,4200.0,71.99,0.72,965.0,1.0,6.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,7781.88
240.0,576.0,12.5,0.05,212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1771.26
60.0,145784.18484021962,2.43,0.04,19564.0,2.0,12.0,13.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,33865.26
180.0,20.0,50.0,0.28,1024.0,1.0,8.0,11.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5226.6
30.0,820.0,13.15,0.44,731.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9041.74
60.0,3350.0,8.76,0.15,680.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3335.33
240.0,4534.0,8.5,0.04,1631.0,1.0,10.0,7.0,1.0,0.0,0.0,8.0,0.0,3.0,0.0,13116.57
60.0,120000.0,2.26,0.04,11419.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11941.65
60.0,44432.0,3.4,0.06,2503.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3629.37
60.0,99.0,3.28,0.05,7268.0,1.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13243.91
120.0,800.0,82.2,0.68,208.0,1.0,13.0,10.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,3449.4
240.0,3393.0,2.1,0.01,1273.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4783.36
60.0,5287.0,3.3,0.06,357.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.46
30.0,21529.0,4.7,0.16,9530.0,0.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16468.54
30.0,22000.0,12.11,0.4,2503.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4120.69
100.0,2887.0,89.0,0.89,1247.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,26859.39
